"scenario_type","observable_behavior","possible_causes","reliability_impact","contradiction_link","recommended_questions","misinterpretation_risk","notes",""
"questioning","avoids eye contact","shyness; cultural norm; discomfort with topic","low","may amplify existing TMP contradictions","Is there any part of this that feels uncomfortable to talk about?","high","Avoid treating eye contact as proof of deception.",""
"timeline_discussion","frequent pauses before answering","reconstructing memory; searching for right words; mild stress","medium","TMP if times already conflict","Take your time — what part feels most certain to you?","medium","Pauses can reflect careful thinking, not dishonesty.",""
"object_discussion","over-detailed description of minor object","anxious over-explaining; trying to be helpful; fixation on safe detail","low","can distract from core CAU contradictions","What about the main event stands out the most to you?","medium","Over-detail may be a coping mechanism, not manipulation.",""
"alibi_statement","repeating the same phrase almost verbatim","rehearsed story; anxiety; advice from others","medium","ALI if logs disagree","Can you describe what you remember just before and after that moment?","medium","Repetition can come from fear of making a mistake.",""
"crowd_scene","changing who they think was present","confused memory; visual overload; sound-based recall","medium","ID contradictions likely","What makes you most sure someone was there or not?","medium","Crowded scenes naturally produce fuzzy presence recollections.",""
"sensory_report","inconsistent color or clothing details","lighting differences; partial views; divided attention","low","ID contradictions if identity disputed","How clearly do you remember seeing that person?","medium","Perception of color is fragile in low or mixed light.",""
"noise_event","confident about hearing words but unsure about direction","echo; overlapping voices; memory blending","medium","CAU if cause of sound disputed","Did the sound feel close, far, or hard to place?","medium","Direction of sound is often misjudged.",""
"confrontation_memory","recalls tone vividly but not exact words","emotional encoding; stress; selective attention","medium","TMP if sequence unclear","Do you remember what was said first or mainly how it felt?","low","Feelings may be more reliable than quoted wording.",""
"formal_interview","overly polite and minimal in answers","fear of saying something wrong; respect for authority","low","may mask deeper contradictions","Is there anything you hesitated to mention earlier?","medium","Politeness can hide uncertainty, not intent.",""
"casual_retelling","adds small new details over time","memory filling gaps; belated recall; narrative smoothing","medium","TMP/CAU if sequence shifts","When did that extra detail come back to you?","medium","New details are not automatically false.",""
"stressful_scene","laughs briefly at serious moment","nervous reaction; stress relief; social mismatch","low","no direct contradiction link","How did you feel in that moment?","high","Inappropriate laughter can be purely nervous.",""
"repeated_questioning","story becomes shorter with each retelling","fatigue; frustration; focus on main points","medium","TMP if key elements vanish","Is there anything you left out because it felt unimportant?","medium","Omission under fatigue is common.",""
"timeline_discussion","speaks quickly when covering a specific segment","heightened anxiety; wanting to pass that part fast","medium","TMP for that segment if already disputed","Could we slow down that part and go step by step?","medium","Speed alone is not a deception marker.",""
