"atom_id","source_dataset_id","source_row_id","domain","unit_type","primary_label","secondary_labels","anchor_entity","anchor_role","relation_label","secondary_entity","secondary_role","core_statement","attributes","tags","context_time","context_location","supports","contradicts","provenance","confidence","status","notes"
"interrogation_dataset__r0__a270","interrogation_dataset","0","interrogation_dataset","entry_point","nervous_witness","[]","nervous_witness","situation_type","links_to_question","soft","question_level","situation_type nervous_witness linked to question_level soft.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from interrogation_dataset row 0."
"forensics__r0__a271","forensics","0","forensics","entry_point","arrival_event","[]","arrival_event","event_type","links_to_anomaly","TMP","anomaly_type","event_type arrival_event linked to anomaly_type TMP.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from forensics row 0."
"behavioral_anomalies__r0__a272","behavioral_anomalies","0","behavioral_anomalies","entry_point","avoids_eye_contact","[]","avoids_eye_contact","observable_behavior","links_to_scenario","questioning","scenario_type","observable_behavior avoids_eye_contact linked to scenario questioning.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from behavioral_anomalies row 0."
"motive_patterns__r0__a273","motive_patterns","0","motive_patterns","entry_point","miscommunication","[]","miscommunication","motive_category","links_to_surface","avoid_conflict","surface_motive","motive_category miscommunication linked to surface_motive avoid_conflict.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from motive_patterns row 0."
"contradictionsV2_patterns__r0__a274","contradictionsV2_patterns","0","contradictionsV2_patterns","entry_point","timeline_simultaneous_impossibility","[]","timeline_simultaneous_impossibility","pattern_type","links_to_surface","Simultaneous_Impossibility","surface_form","pattern_type timeline_simultaneous_impossibility linked to surface_form Simultaneous_Impossibility.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from contradictionsV2_patterns row 0."
"alibi_patterns__r0__a275","alibi_patterns","0","alibi_patterns","entry_point","weak_time_anchor","[]","weak_time_anchor","alibi_pattern","links_to_issue","time_gap","issue_type","alibi_pattern weak_time_anchor linked to issue_type time_gap.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from alibi_patterns row 0."
"trace_evidence_matrix__r0__a276","trace_evidence_matrix","0","trace_evidence_matrix","entry_point","fiber_match_low","[]","fiber_match_low","evidence_pattern","links_to_strength","low","probability_band","evidence_pattern fiber_match_low linked to probability_band low.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from trace_evidence_matrix row 0."
"microscene_reconstruction__r0__a277","microscene_reconstruction","0","microscene_reconstruction","entry_point","displaced_object","[]","displaced_object","scene_cue","links_to_hypothesis","minor_disturbance","hypothesis_type","scene_cue displaced_object linked to hypothesis_type minor_disturbance.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from microscene_reconstruction row 0."
"perception_witness_reliability_patterns__r0__a278","perception_witness_reliability_patterns","0","perception_witness_reliability_patterns","entry_point","low_light_recall","[]","low_light_recall","perception_condition","links_to_reliability","moderate","reliability_level","perception_condition low_light_recall linked to reliability_level moderate.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from perception_witness_reliability_patterns row 0."
"narrative_anomaly_interr__r0__a279","narrative_anomaly_interr","0","narrative_anomaly_interr","entry_point","jump_cut_story","[]","jump_cut_story","narrative_pattern","links_to_category","sequence_gap","category","narrative_pattern jump_cut_story linked to category sequence_gap.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from narrative_anomaly_interr row 0."
"interrogation_dataset__r1__a280","interrogation_dataset","1","interrogation_dataset","entry_point","timeline_confusion","[]","timeline_confusion","situation_type","links_to_question","neutral","question_level","situation_type timeline_confusion linked to question_level neutral.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from interrogation_dataset row 1."
"forensics__r1__a281","forensics","1","forensics","entry_point","departure_event","[]","departure_event","event_type","links_to_anomaly","LOC","anomaly_type","event_type departure_event linked to anomaly_type LOC.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from forensics row 1."
"behavioral_anomalies__r1__a282","behavioral_anomalies","1","behavioral_anomalies","entry_point","frequent_pauses","[]","frequent_pauses","observable_behavior","links_to_scenario","timeline_discussion","scenario_type","observable_behavior frequent_pauses linked to scenario timeline_discussion.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from behavioral_anomalies row 1."
"motive_patterns__r1__a283","motive_patterns","1","motive_patterns","entry_point","opportunity","[]","opportunity","motive_category","links_to_surface","take_unused_item","surface_motive","motive_category opportunity linked to surface_motive take_unused_item.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from motive_patterns row 1."
"contradictionsV2_patterns__r1__a284","contradictionsV2_patterns","1","contradictionsV2_patterns","entry_point","timeline_reverse_chronology","[]","timeline_reverse_chronology","pattern_type","links_to_surface","Reverse_Chronology","surface_form","pattern_type timeline_reverse_chronology linked to surface_form Reverse_Chronology.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from contradictionsV2_patterns row 1."
"alibi_patterns__r1__a285","alibi_patterns","1","alibi_patterns","entry_point","overprecise_clock_time","[]","overprecise_clock_time","alibi_pattern","links_to_issue","suspicious_precision","issue_type","alibi_pattern overprecise_clock_time linked to issue_type suspicious_precision.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from alibi_patterns row 1."
"trace_evidence_matrix__r1__a286","trace_evidence_matrix","1","trace_evidence_matrix","entry_point","fingerprint_partial","[]","fingerprint_partial","evidence_pattern","links_to_strength","medium","probability_band","evidence_pattern fingerprint_partial linked to probability_band medium.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from trace_evidence_matrix row 1."
"microscene_reconstruction__r1__a287","microscene_reconstruction","1","microscene_reconstruction","entry_point","misaligned_chair","[]","misaligned_chair","scene_cue","links_to_hypothesis","possible_struggle","hypothesis_type","scene_cue misaligned_chair linked to hypothesis_type possible_struggle.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from microscene_reconstruction row 1."
"perception_witness_reliability_patterns__r1__a288","perception_witness_reliability_patterns","1","perception_witness_reliability_patterns","entry_point","alcohol_present","[]","alcohol_present","perception_condition","links_to_reliability","low","reliability_level","perception_condition alcohol_present linked to reliability_level low.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from perception_witness_reliability_patterns row 1."
"narrative_anomaly_interr__r1__a289","narrative_anomaly_interr","1","narrative_anomaly_interr","entry_point","restarted_story","[]","restarted_story","narrative_pattern","links_to_category","reset_point","category","narrative_pattern restarted_story linked to category reset_point.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from narrative_anomaly_interr row 1."
"interrogation_dataset__r2__a290","interrogation_dataset","2","interrogation_dataset","entry_point","contradiction_sighting","[]","contradiction_sighting","situation_type","links_to_question","neutral","question_level","situation_type contradiction_sighting linked to question_level neutral.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from interrogation_dataset row 2."
"forensics__r2__a291","forensics","2","forensics","entry_point","action_event","[]","action_event","event_type","links_to_anomaly","CAU","anomaly_type","event_type action_event linked to anomaly_type CAU.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from forensics row 2."
"behavioral_anomalies__r2__a292","behavioral_anomalies","2","behavioral_anomalies","entry_point","over_detailed_minor_object","[]","over_detailed_minor_object","observable_behavior","links_to_scenario","object_discussion","scenario_type","observable_behavior over_detailed_minor_object linked to scenario object_discussion.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from behavioral_anomalies row 2."
"motive_patterns__r2__a293","motive_patterns","2","motive_patterns","entry_point","fear_avoid_punishment","[]","fear_avoid_punishment","motive_category","links_to_surface","avoid_punishment","surface_motive","motive_category fear_avoid_punishment linked to surface_motive avoid_punishment.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from motive_patterns row 2."
"contradictionsV2_patterns__r2__a294","contradictionsV2_patterns","2","contradictionsV2_patterns","entry_point","timeline_time_compression","[]","timeline_time_compression","pattern_type","links_to_surface","Time_Compression","surface_form","pattern_type timeline_time_compression linked to surface_form Time_Compression.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from contradictionsV2_patterns row 2."
"alibi_patterns__r2__a295","alibi_patterns","2","alibi_patterns","entry_point","missing_departure_detail","[]","missing_departure_detail","alibi_pattern","links_to_issue","incomplete_segment","issue_type","alibi_pattern missing_departure_detail linked to issue_type incomplete_segment.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from alibi_patterns row 2."
