"atom_id","source_dataset_id","source_row_id","domain","unit_type","primary_label","secondary_labels","anchor_entity","anchor_role","relation_label","secondary_entity","secondary_role","core_statement","attributes","tags","context_time","context_location","supports","contradicts","provenance","confidence","status","notes","","","","","","","","","","","","","","",""
"interrogation_dataset__r0__a0","interrogation_dataset","0","interrogation_dataset","entry_point","nervous_witness","[""soft"",""interrogation_dataset""]","nervous_witness","situation_type","interrogation_dataset_link","soft","question_level","situation_type=nervous_witness is linked to question_level=soft in interrogation_dataset.","{""situation_type"": ""nervous_witness"",""question_level"": ""soft"","""interrogation_question"": ""Could you walk me through what you remember","at your own pace?""",""psychological_purpose"": ""build rapport"",""expected_signal"": ""steady recall or calm tone"",""fallback_question"": ""Is there a part you'd like to start with?"",""ethical_note"": ""respect emotional comfort"","""info_gain_rating"": 4",""__dataset__"": ""interrogation_dataset"",""__row_id__"": 0}","[""dataset:interrogation_dataset"",""col:situation_type"",""col:question_level""]","","","[]","[]","{""source"": ""umgg_batch1"",""umgg_mastergrid_version"": ""1.0""}","0.9","active","UMGG batch entry point expansion from dataset interrogation_dataset, row 0.",""
"forensics__r0__a1","forensics","0","forensics","entry_point","arrival","[""TMP"",""forensics""]","arrival","event_type","forensics_link","TMP","anomaly_type","event_type=arrival is linked to anomaly_type=TMP in forensics.","{""event_type"": ""arrival"",""required_data"": ""timestamp"",""optional_data"": ""entry_condition"",""anomaly_type"": ""TMP"",""anomaly_description"": ""arrival time conflicts with earlier claim"",""cross_check"": ""compare with logs"","""notes"": ""keep fictional","avoid real procedure""",""__dataset__"": ""forensics"",""__row_id__"": 0}","[""dataset:forensics"",""col:event_type"",""col:anomaly_type""]","","","[]","[]","{""source"": ""umgg_batch1"",""umgg_mastergrid_version"": ""1.0""}","0.9","active","UMGG batch entry point expansion from dataset forensics, row 0.","",""
"behavioral_anomalies__r0__a2","behavioral_anomalies","0","behavioral_anomalies","entry_point","questioning","[""avoids eye contact"",""behavioral_anomalies""]","questioning","scenario_type","behavioral_anomalies_link","avoids eye contact","observable_behavior","scenario_type=questioning is linked to observable_behavior=avoids eye contact in behavioral_anomalies.","{""scenario_type"": ""questioning"",""observable_behavior"": ""avoids eye contact"",""possible_causes"": ""shyness; cultural norm; discomfort with topic"",""reliability_impact"": ""low"",""contradiction_link"": ""may amplify existing TMP contradictions"",""recommended_questions"": ""Is there any part of this that feels uncomfortable to talk about?"",""misinterpretation_risk"": ""high"",""notes"": ""Avoid treating eye contact as proof of deception."","""Unnamed: 8"": null",""__dataset__"": ""behavioral_anomalies"",""__row_id__"": 0}","[""dataset:behavioral_anomalies"",""col:scenario_type"",""col:observable_behavior""]","","","[]","[]","{""source"": ""umgg_batch1"",""umgg_mastergrid_version"": ""1.0""}","0.9","active","UMGG batch entry point expansion from dataset behavioral_anomalies, row 0.",""
"motive_patterns__r0__a3","motive_patterns","0","motive_patterns","entry_point","miscommunication","[""avoid conflict"",""motive_patterns""]","miscommunication","motive_category","motive_patterns_link","avoid conflict","surface_motive","motive_category=miscommunication is linked to surface_motive=avoid conflict in motive_patterns.","{""motive_category"": ""miscommunication"",""surface_motive"": ""avoid conflict"",""hidden_motive"": ""fear of being blamed"",""trigger_event"": ""tense conversation"",""contradiction_risk"": ""medium"",""behavioral_indicators"": ""hesitation; inconsistent phrasing"","""hypothesis_value"": 0.62",""notes"": ""Common cause of benign contradictions."",""__dataset__"": ""motive_patterns"",""__row_id__"": 0}","[""dataset:motive_patterns"",""col:motive_category"",""col:surface_motive""]","","","[]","[]","{""source"": ""umgg_batch1"",""umgg_mastergrid_version"": ""1.0""}","0.9","active","UMGG batch entry point expansion from dataset motive_patterns, row 0.","",""
"contradictionsV2_patterns__r0__a4","contradictionsV2_patterns","0","contradictionsV2_patterns","entry_point","timeline","[""Simultaneous Impossibility"",""contradictionsV2_patterns""]","timeline","pattern_type","contradictionsV2_patterns_link","Simultaneous Impossibility","surface_form","pattern_type=timeline is linked to surface_form=Simultaneous Impossibility in contradictionsV2_patterns.","{""pattern_type"": ""timeline"",""surface_form"": ""Simultaneous Impossibility"",""deep_structure"": ""Claim places person in two locations within overlapping timestamps."",""example_trigger"": ""'I left at 18:00' vs 'I arrived there at 18:05' (distance incompatible)."",""severity"": ""high"","""recommended_response_style"": ""Flag contradiction","request precise timestamps.""",""__dataset__"": ""contradictionsV2_patterns"",""__row_id__"": 0}","[""dataset:contradictionsV2_patterns"",""col:pattern_type"",""col:surface_form""]","","","[]","[]","{""source"": ""umgg_batch1"",""umgg_mastergrid_version"": ""1.0""}","0.9","active","UMGG batch entry point expansion from dataset contradictionsV2_patterns, row 0.","","",""
"interrogation_dataset__r1__a5","interrogation_dataset","1","interrogation_dataset","entry_point","timeline_confusion","[""neutral"",""interrogation_dataset""]","timeline_confusion","situation_type","interrogation_dataset_link","neutral","question_level","situation_type=timeline_confusion is linked to question_level=neutral in interrogation_dataset.","{""situation_type"": ""timeline_confusion"",""question_level"": ""neutral"",""interrogation_question"": ""What is the earliest moment you are certain about?"",""psychological_purpose"": ""clarify anchor"",""expected_signal"": ""consistent anchor or hesitation"",""fallback_question"": ""What happened immediately after that?"",""ethical_note"": ""avoid pressure"","""info_gain_rating"": 5",""__dataset__"": ""interrogation_dataset"",""__row_id__"": 1}","[""dataset:interrogation_dataset"",""col:situation_type"",""col:question_level""]","","","[]","[]","{""source"": ""umgg_batch1"",""umgg_mastergrid_version"": ""1.0""}","0.9","active","UMGG batch entry point expansion from dataset interrogation_dataset, row 1.","",""
"forensics__r1__a6","forensics","1","forensics","entry_point","departure","[""LOC"",""forensics""]","departure","event_type","forensics_link","LOC","anomaly_type","event_type=departure is linked to anomaly_type=LOC in forensics.","{""event_type"": ""departure"",""required_data"": ""timestamp"",""optional_data"": ""observed_by"",""anomaly_type"": ""LOC"",""anomaly_description"": ""claimed departure path impossible"",""cross_check"": ""check consistency across witnesses"",""notes"": ""focus on logic not surveillance"",""__dataset__"": ""forensics"",""__row_id__"": 1}","[""dataset:forensics"",""col:event_type"",""col:anomaly_type""]","","","[]","[]","{""source"": ""umgg_batch1"",""umgg_mastergrid_version"": ""1.0""}","0.9","active","UMGG batch entry point expansion from dataset forensics, row 1.","","",""
"behavioral_anomalies__r1__a7","behavioral_anomalies","1","behavioral_anomalies","entry_point","timeline_discussion","[""frequent pauses before answering"",""behavioral_anomalies""]","timeline_discussion","scenario_type","behavioral_anomalies_link","frequent pauses before answering","observable_behavior","scenario_type=timeline_discussion is linked to observable_behavior=frequent pauses before answering in behavioral_anomalies.","{""scenario_type"": ""timeline_discussion"",""observable_behavior"": ""frequent pauses before answering"",""possible_causes"": ""reconstructing memory; searching for right words; mild stress"",""reliability_impact"": ""medium"",""contradiction_link"": ""TMP if times already conflict"",""recommended_questions"": ""Take your time — what part feels most certain to you?"",""misinterpretation_risk"": ""medium"","""notes"": ""Pauses can reflect careful thinking","not dishonesty.""","""Unnamed: 8"": null",""__dataset__"": ""behavioral_anomalies"",""__row_id__"": 1}","[""dataset:behavioral_anomalies"",""col:scenario_type"",""col:observable_behavior""]","","","[]","[]","{""source"": ""umgg_batch1"",""umgg_mastergrid_version"": ""1.0""}","0.9","active","UMGG batch entry point expansion from dataset behavioral_anomalies, row 1."
"motive_patterns__r1__a8","motive_patterns","1","motive_patterns","entry_point","opportunity","[""take unused item"",""motive_patterns""]","opportunity","motive_category","motive_patterns_link","take unused item","surface_motive","motive_category=opportunity is linked to surface_motive=take unused item in motive_patterns.","{""motive_category"": ""opportunity"",""surface_motive"": ""take unused item"",""hidden_motive"": ""seize unexpected chance"",""trigger_event"": ""object left unattended"",""contradiction_risk"": ""low"",""behavioral_indicators"": ""quick decisions; minimal justification"","""hypothesis_value"": 0.55",""notes"": ""Often mistaken for intentional wrongdoing."",""__dataset__"": ""motive_patterns"",""__row_id__"": 1}","[""dataset:motive_patterns"",""col:motive_category"",""col:surface_motive""]","","","[]","[]","{""source"": ""umgg_batch1"",""umgg_mastergrid_version"": ""1.0""}","0.9","active","UMGG batch entry point expansion from dataset motive_patterns, row 1.","",""
"contradictionsV2_patterns__r1__a9","contradictionsV2_patterns","1","contradictionsV2_patterns","entry_point","timeline","[""Reverse Chronology"",""contradictionsV2_patterns""]","timeline","pattern_type","contradictionsV2_patterns_link","Reverse Chronology","surface_form","pattern_type=timeline is linked to surface_form=Reverse Chronology in contradictionsV2_patterns.","{""pattern_type"": ""timeline"",""surface_form"": ""Reverse Chronology"",""deep_structure"": ""Effect described before its stated cause."",""example_trigger"": ""'He reacted before I told him the news.'"",""severity"": ""medium"",""recommended_response_style"": ""Note temporal inversion; ask to restate event order."",""__dataset__"": ""contradictionsV2_patterns"",""__row_id__"": 1}","[""dataset:contradictionsV2_patterns"",""col:pattern_type"",""col:surface_form""]","","","[]","[]","{""source"": ""umgg_batch1"",""umgg_mastergrid_version"": ""1.0""}","0.9","active","UMGG batch entry point expansion from dataset contradictionsV2_patterns, row 1.","","","",""
