anomaly_type,context,subcontext,tag,description,check,notes
goal_mismatch,action,stated_goal,MOT,action contradicts previously stated goal,align motive chain,fictional logic
risk_reward_gap,behavior,risk_level,MOT,takes high risk for no clear reward,compare reward logic,abstract motivational reasoning
overexplained_motive,story,motive_note,MOT,overjustifies motive unnaturally,check motive inflation,synthetic
flat_affect,intense_event,emotion,MOT,no emotional response where expected,compare emotional logic,fictional
disproportionate_reaction,minor_event,emotional_surge,MOT,overreacts to trivial detail,map reaction scale,safe
underreaction,major_event,calmness,MOT,remains calm during severe claim,align affect markers,fictional
intent_drift,action,intended_outcome,MOT,claims outcome but behavior contradicts intention,compare outcome vs action,synthetic
self_negation_motive,claim,motive,MOT,states motive then denies it minutes later,map reversals,safe
forced_logic_chain,motive,explanation,MOT,explains motive with too perfect logic chain,check over-smoothness,fictional
emotional_displacement,story,emotion_label,MOT,misapplies emotion to irrelevant moment,align emotional placement,synthetic
late_motive_intro,action,motive,MOT,motive appears only after questioning,check motive timing,fictional
incoherent_motive_scale,goal,effort,MOT,effort invested mismatches goal importance,map scaling,synthetic
double_motive,event,competing_goals,MOT,claims two motives that can't coexist,check goal contradiction,fictional
intentional_confusion,statement,goal,MOT,describes intended action vaguely on purpose,track intentional vagueness,synthetic
motive_tension_drop,event,emotion,MOT,described tension drops abruptly without cause,map affect curve,fictional
motive_swap,motive,new_claim,MOT,swaps motive while describing same event,align motive consistency,synthetic
unnecessary_secrecy,action,context,MOT,adds secrecy where none is needed,check secrecy logic,fictional
goalless_action,action,context,MOT,describes action with no purpose whatsoever,compare goal logic,synthetic
hyperrationalization,claim,explanation,MOT,explains motive in overly rational terms,check emotional mismatch,fictional
emotional_overjustification,emotion,context,MOT,overexplains why they felt a specific emotion,align emotional logic,synthetic
oversimplified_motive,story,intent,MOT,states motive in overly simplistic terms for complex scenario,check motive depth,synthetic
motive_contradiction,claim,intention,MOT,expressed motive contradicts earlier established intent,align motive anchors,fictional
fabricated_goal_shift,story,goal,MOT,goal shifts suddenly without narrative cause,track goal drift,synthetic
reverse_justification,action,outcome,MOT,outcome presented first to justify motive retroactively,check causal order,fictional
emotionless_goal_pursuit,behavior,emotion,MOT,pursues emotional goal with no feeling displayed,compare affect vs objective,synthetic
impulsive_goal_change,story,goal,MOT,abruptly changes goal mid-scene,track goal continuity,fictional
gratuitous_risk,behavior,context,MOT,takes risk unrelated to any stated objective,check necessity logic,synthetic
reward_blind_action,action,reward,MOT,ignores obvious reward while pursuing trivial one,map incentive logic,fictional
detached_motive,story,emotion,MOT,described motive feels unrelated to emotional tone,check tone-motive alignment,synthetic
misaligned_intent_label,statement,intent,MOT,labels intent incorrectly compared to described behavior,compare label vs action,fictional
unanchored_goal,story,goal,MOT,goal appears without any prior anchor,map goal introduction,synthetic
redundant_motive,claim,explanation,MOT,repeats motive excessively without adding clarity,check repetition logic,synthetic
emotional_inverse,motive,emotion,MOT,expresses opposite emotion to motive described,align emotion inversion,fictional
goal_inflation,story,goal,MOT,inflates importance of a trivial goal unnaturally,map importance scale,synthetic
irrational_loyalty,story,character,MOT,shows extreme commitment with no grounding motive,check loyalty logic,fictional
contradictory_empathy,emotion,context,MOT,shows empathy toward threat but anger toward help,compare emotional reasoning,synthetic
motive_gap,event,context,MOT,missing motive for key action entirely,check explanation completeness,fictional
retroactive_motive_patch,story,motive,MOT,adds motive later to justify earlier confusion,track motive revisions,synthetic
