event_type,required_data,optional_data,anomaly_type,anomaly_description,cross_check,notes
timeline_jump,story,timestamp,NAR,jumps back and forth with no temporal links,align time anchors,story-logic only
fragmented_sequence,events,missing_links,NAR,story presented in fragments lacking transitions,map narrative gaps,fictional
cause_reversal,claim,sequence_order,NAR,reverses cause/effect mid-story,compare causal anchors,abstract causal reasoning
missing_scene,story,context_note,NAR,skips an entire scene while claiming continuity,check missing scene windows,synthetic narrative hole
sequence_compression,events,summary_phrase,NAR,compresses long actions into vague summary,expand vs expected detail,safe compression
overlinear_story,story,rigidity_markers,NAR,"story is too perfectly linear, unnatural simplicity",check oversynchronization,fictional fabrication cue
story_rewrite,claim,version_count,NAR,rephrases same event multiple times with different ordering,align versions,logic pattern
temporal_vagueness,story,time_terms,NAR,avoids exact times for key events,map temporal avoidance,synthetic
anchor_shift,event,anchor_term,NAR,changes anchor event used to orient timeline,check anchor drift,narrative anomaly
consistency_overfit,story,repetition,NAR,every detail repeats identically despite retelling,detect over-controlled narrative,safe
scene_blending,events,context_blur,NAR,merges two distinct scenes into one,compare environmental notes,fictional
missing_consequence,action,outcome,NAR,action presented with no consequence despite logic,align effect expectations,synthetic logic gap
parallel_conflict,story,subplots,NAR,introduces parallel events that conflict with main line,check subplot contradictions,narrative tension only
looped_ending,story,end_state,NAR,final state contradicts earlier outcome,map final vs initial,abstract detective reasoning
overcontextualization,story,excess_notes,NAR,adds excessive context to mask missing sequence,compare context density,fictional
subtle_disjoint,story,micro_pauses,NAR,tiny breaks in narrative coherence,check micro-fragmentation,synthetic cue
incomplete_action,action,implied_step,NAR,describes an action but omits key pivot step,map missing pivot,narrative anomaly
reverse_motivation_order,event,motive,NAR,motive is explained after the event happens,align motive placement,fictional storytelling
spatial_fragmentation,story,space_terms,NAR,describes space inconsistently across narrative,compare spatial anchors,safe
unstable_point_of_view,story,perspective,NAR,POV shifts without explanation,cross-check angle consistency,fictional narrative rule
