lighting_condition,distance_to_event,stress_level,familiarity_with_subject,sensory_clarity,reliability_score,likely_failure_modes,notes
bright,close (<3m),calm,familiar,high,0.9,none,Witness very confident; high environmental clarity.
bright,medium (3–10m),mildly stressed,slight,high,0.82,minor detail loss,Clear lighting but mild stress present.
bright,far (10–30m),calm,none,medium,0.68,misidentification,Distance introduces recognition uncertainty.
bright,very far (>30m),stressed,none,medium,0.52,missing details,Witness strained to observe events at distance.
normal indoor,close (<3m),calm,close acquaintance,high,0.88,none,Strong familiarity enhances accuracy.
normal indoor,medium (3–10m),stressed,familiar,medium,0.71,time distortion,Stress may affect sequencing.
normal indoor,far (10–30m),mildly stressed,none,medium,0.63,misidentification,Limited visibility and weak familiarity.
normal indoor,very far (>30m),panicked,none,low,0.3,misidentification; memory blending,High stress and extreme distance reduce reliability.
dim,close (<3m),calm,slight,medium,0.76,minor detail loss,Lighting creates soft edges around details.
dim,medium (3–10m),mildly stressed,none,low,0.49,missing details,Witness struggled to see clearly.
dim,far (10–30m),stressed,none,low,0.35,misidentification; time distortion,Low light + stress amplify errors.
dim,very far (>30m),panicked,none,low,0.2,missing details; memory blending,Witness could not see key features.
low-light,close (<3m),stressed,familiar,medium,0.7,time distortion,Stress but high familiarity maintains some reliability.
low-light,medium (3–10m),calm,none,medium,0.6,missing details,Calm but low-light reduces clarity.
low-light,far (10–30m),mildly stressed,slight,low,0.42,misidentification,Witness uncertain about shapes and movement.
low-light,very far (>30m),stressed,none,low,0.25,missing details; misperception,Very low visibility.
backlit,close (<3m),calm,slight,medium,0.72,minor detail loss,Backlighting obscures facial features.
backlit,medium (3–10m),mildly stressed,familiar,medium,0.66,missing details,Strong silhouette effect reduces detail accuracy.
backlit,far (10–30m),stressed,none,low,0.4,misidentification,Backlight + stress distort perception.
backlit,very far (>30m),panicked,none,low,0.18,missing details; memory blending,Witness overwhelmed and unable to distinguish features.
bright,close (<3m),calm,none,high,0.9,none,Scene was brightly lit. Witness was very close to the event. Witness remained relatively calm. No prior familiarity with the subject. Details appeared sharp and distinct. Overall recollection is strong and internally consistent.
bright,close (<3m),calm,slight,medium,0.79,minor detail loss,"Scene was brightly lit. Witness was very close to the event. Witness remained relatively calm. Only slight prior familiarity. Some features were clear, others less so. Recollection is usable but may lack some finer details."
bright,close (<3m),calm,familiar,medium,0.8,minor detail loss,"Scene was brightly lit. Witness was very close to the event. Witness remained relatively calm. Generally familiar with the subject. Some features were clear, others less so. Recollection is usable but may lack some finer details."
bright,close (<3m),calm,close acquaintance,medium,0.81,minor detail loss,"Scene was brightly lit. Witness was very close to the event. Witness remained relatively calm. Close acquaintance or friend. Some features were clear, others less so. Recollection is usable but may lack some finer details."
bright,close (<3m),mildly stressed,none,high,0.83,minor detail loss,Scene was brightly lit. Witness was very close to the event. Witness reported mild stress. No prior familiarity with the subject. Details appeared sharp and distinct. Overall recollection is strong and internally consistent.
bright,close (<3m),mildly stressed,slight,high,0.84,minor detail loss,Scene was brightly lit. Witness was very close to the event. Witness reported mild stress. Only slight prior familiarity. Details appeared sharp and distinct. Overall recollection is strong and internally consistent.
